268ns  |  0x00000080  |  fe842703           lw a4,-24(s0)
269ns  |  0x00000084  |  01300793           li a5,19
270ns  |  0x00000088  |  f8e7dae3           bge a5,a4,1c <main+0x1c>
271ns  |  0x0000001c  |  fe842783           lw a5,-24(s0)
272ns  |  0x00000020  |  0017f793           and a5,a5,1
273ns  |  0x00000024  |  02079663           bnez a5,50 <main+0x50>
274ns  |  0x00000050  |  fec42703           lw a4,-20(s0)
275ns  |  0x00000054  |  fe842783           lw a5,-24(s0)
276ns  |  0x00000058  |  02f707b3           mul a5,a4,a5
277ns  |  0x0000005c  |  00078513           mv a0,a5
278ns  |  0x00000060  |  07c000ef           jal dc <jump_function2>
279ns  |  0x000000dc  |  fe010113           add sp,sp,-32 ## [ ENTER FUNCTION 2 ] ##
280ns  |  0x000000e0  |  00812e23           sw s0,28(sp)
281ns  |  0x000000e4  |  02010413           add s0,sp,32
294ns  |  0x000000e8  |  fea42623           sw a0,-20(s0)
295ns  |  0x000000ec  |  fec42783           lw a5,-20(s0)
296ns  |  0x000000f0  |  0017f793           and a5,a5,1
297ns  |  0x000000f4  |  00079663           bnez a5,100 <jump_function2+0x24>
298ns  |  0x000000f8  |  02800793           li a5,40
299ns  |  0x000000fc  |  0080006f           j 104 <jump_function2+0x28>
300ns  |  0x00000104  |  00078513           mv a0,a5
301ns  |  0x00000108  |  01c12403           lw s0,28(sp)
302ns  |  0x0000010c  |  02010113           add sp,sp,32
303ns  |  0x00000110  |  00008067           ret
304ns  |  0x00000064  |  00050713           mv a4,a0
305ns  |  0x00000068  |  fec42783           lw a5,-20(s0)
306ns  |  0x0000006c  |  00e787b3           add a5,a5,a4
307ns  |  0x00000070  |  fef42623           sw a5,-20(s0)
308ns  |  0x00000074  |  fe842783           lw a5,-24(s0)
309ns  |  0x00000078  |  00178793           add a5,a5,1
331ns  |  0x0000007c  |  fef42423           sw a5,-24(s0)
332ns  |  0x00000080  |  fe842703           lw a4,-24(s0)
333ns  |  0x00000084  |  01300793           li a5,19
334ns  |  0x00000088  |  f8e7dae3           bge a5,a4,1c <main+0x1c>
335ns  |  0x0000001c  |  fe842783           lw a5,-24(s0)
336ns  |  0x00000020  |  0017f793           and a5,a5,1
337ns  |  0x00000024  |  02079663           bnez a5,50 <main+0x50>
338ns  |  0x00000028  |  fec42703           lw a4,-20(s0)
339ns  |  0x0000002c  |  fe842783           lw a5,-24(s0)
340ns  |  0x00000030  |  02f707b3           mul a5,a4,a5
341ns  |  0x00000034  |  00078513           mv a0,a5
342ns  |  0x00000038  |  06c000ef           jal a4 <jump_function1>
343ns  |  0x000000a4  |  fe010113           add sp,sp,-32 ## [ ENTER FUNCTION 1 ] ##
344ns  |  0x000000a8  |  00812e23           sw s0,28(sp)
345ns  |  0x000000ac  |  02010413           add s0,sp,32
359ns  |  0x000000b0  |  fea42623           sw a0,-20(s0)
360ns  |  0x000000b4  |  fec42783           lw a5,-20(s0)
361ns  |  0x000000b8  |  0017f793           and a5,a5,1
362ns  |  0x000000bc  |  00079663           bnez a5,c8 <jump_function1+0x24>
363ns  |  0x000000c0  |  01400793           li a5,20
364ns  |  0x000000c4  |  0080006f           j cc <jump_function1+0x28>
365ns  |  0x000000cc  |  00078513           mv a0,a5
366ns  |  0x000000d0  |  01c12403           lw s0,28(sp)
367ns  |  0x000000d4  |  02010113           add sp,sp,32
368ns  |  0x000000d8  |  00008067           ret
369ns  |  0x0000003c  |  00050713           mv a4,a0
370ns  |  0x00000040  |  fec42783           lw a5,-20(s0)
371ns  |  0x00000044  |  00e787b3           add a5,a5,a4
372ns  |  0x00000048  |  fef42623           sw a5,-20(s0)
373ns  |  0x0000004c  |  0280006f           j 74 <main+0x74>
374ns  |  0x00000074  |  fe842783           lw a5,-24(s0)
375ns  |  0x00000078  |  00178793           add a5,a5,1
405ns  |  0x0000007c  |  fef42423           sw a5,-24(s0)
406ns  |  0x00000080  |  fe842703           lw a4,-24(s0)
407ns  |  0x00000084  |  01300793           li a5,19
408ns  |  0x00000088  |  f8e7dae3           bge a5,a4,1c <main+0x1c>
409ns  |  0x0000001c  |  fe842783           lw a5,-24(s0)
410ns  |  0x00000020  |  0017f793           and a5,a5,1
411ns  |  0x00000024  |  02079663           bnez a5,50 <main+0x50>
412ns  |  0x00000050  |  fec42703           lw a4,-20(s0)
413ns  |  0x00000054  |  fe842783           lw a5,-24(s0)
414ns  |  0x00000058  |  02f707b3           mul a5,a4,a5
415ns  |  0x0000005c  |  00078513           mv a0,a5
416ns  |  0x00000060  |  07c000ef           jal dc <jump_function2>
417ns  |  0x000000dc  |  fe010113           add sp,sp,-32 ## [ ENTER FUNCTION 2 ] ##
418ns  |  0x000000e0  |  00812e23           sw s0,28(sp)
419ns  |  0x000000e4  |  02010413           add s0,sp,32
432ns  |  0x000000e8  |  fea42623           sw a0,-20(s0)
433ns  |  0x000000ec  |  fec42783           lw a5,-20(s0)
434ns  |  0x000000f0  |  0017f793           and a5,a5,1
435ns  |  0x000000f4  |  00079663           bnez a5,100 <jump_function2+0x24>
436ns  |  0x000000f8  |  02800793           li a5,40
437ns  |  0x000000fc  |  0080006f           j 104 <jump_function2+0x28>
438ns  |  0x00000104  |  00078513           mv a0,a5
439ns  |  0x00000108  |  01c12403           lw s0,28(sp)
440ns  |  0x0000010c  |  02010113           add sp,sp,32
441ns  |  0x00000110  |  00008067           ret
442ns  |  0x00000064  |  00050713           mv a4,a0
443ns  |  0x00000068  |  fec42783           lw a5,-20(s0)
444ns  |  0x0000006c  |  00e787b3           add a5,a5,a4
445ns  |  0x00000070  |  fef42623           sw a5,-20(s0)
446ns  |  0x00000074  |  fe842783           lw a5,-24(s0)
447ns  |  0x00000078  |  00178793           add a5,a5,1
469ns  |  0x0000007c  |  fef42423           sw a5,-24(s0)
470ns  |  0x00000080  |  fe842703           lw a4,-24(s0)
471ns  |  0x00000084  |  01300793           li a5,19
472ns  |  0x00000088  |  f8e7dae3           bge a5,a4,1c <main+0x1c>
473ns  |  0x0000001c  |  fe842783           lw a5,-24(s0)
474ns  |  0x00000020  |  0017f793           and a5,a5,1
475ns  |  0x00000024  |  02079663           bnez a5,50 <main+0x50>
476ns  |  0x00000028  |  fec42703           lw a4,-20(s0)
477ns  |  0x0000002c  |  fe842783           lw a5,-24(s0)
478ns  |  0x00000030  |  02f707b3           mul a5,a4,a5
479ns  |  0x00000034  |  00078513           mv a0,a5
480ns  |  0x00000038  |  06c000ef           jal a4 <jump_function1>
481ns  |  0x000000a4  |  fe010113           add sp,sp,-32 ## [ ENTER FUNCTION 1 ] ##
482ns  |  0x000000a8  |  00812e23           sw s0,28(sp)
483ns  |  0x000000ac  |  02010413           add s0,sp,32
497ns  |  0x000000b0  |  fea42623           sw a0,-20(s0)
498ns  |  0x000000b4  |  fec42783           lw a5,-20(s0)
499ns  |  0x000000b8  |  0017f793           and a5,a5,1
500ns  |  0x000000bc  |  00079663           bnez a5,c8 <jump_function1+0x24>
501ns  |  0x000000c0  |  01400793           li a5,20
502ns  |  0x000000c4  |  0080006f           j cc <jump_function1+0x28>
503ns  |  0x000000cc  |  00078513           mv a0,a5
504ns  |  0x000000d0  |  01c12403           lw s0,28(sp)
505ns  |  0x000000d4  |  02010113           add sp,sp,32
506ns  |  0x000000d8  |  00008067           ret
507ns  |  0x0000003c  |  00050713           mv a4,a0
508ns  |  0x00000040  |  fec42783           lw a5,-20(s0)
509ns  |  0x00000044  |  00e787b3           add a5,a5,a4
510ns  |  0x00000048  |  fef42623           sw a5,-20(s0)
511ns  |  0x0000004c  |  0280006f           j 74 <main+0x74>
512ns  |  0x00000074  |  fe842783           lw a5,-24(s0)
513ns  |  0x00000078  |  00178793           add a5,a5,1
543ns  |  0x0000007c  |  fef42423           sw a5,-24(s0)
544ns  |  0x00000080  |  fe842703           lw a4,-24(s0)
545ns  |  0x00000084  |  01300793           li a5,19
546ns  |  0x00000088  |  f8e7dae3           bge a5,a4,1c <main+0x1c>
547ns  |  0x0000001c  |  fe842783           lw a5,-24(s0)
548ns  |  0x00000020  |  0017f793           and a5,a5,1
549ns  |  0x00000024  |  02079663           bnez a5,50 <main+0x50>
550ns  |  0x00000050  |  fec42703           lw a4,-20(s0)
551ns  |  0x00000054  |  fe842783           lw a5,-24(s0)
552ns  |  0x00000058  |  02f707b3           mul a5,a4,a5
553ns  |  0x0000005c  |  00078513           mv a0,a5
554ns  |  0x00000060  |  07c000ef           jal dc <jump_function2>
555ns  |  0x000000dc  |  fe010113           add sp,sp,-32 ## [ ENTER FUNCTION 2 ] ##
556ns  |  0x000000e0  |  00812e23           sw s0,28(sp)
557ns  |  0x000000e4  |  02010413           add s0,sp,32
570ns  |  0x000000e8  |  fea42623           sw a0,-20(s0)
571ns  |  0x000000ec  |  fec42783           lw a5,-20(s0)
572ns  |  0x000000f0  |  0017f793           and a5,a5,1
573ns  |  0x000000f4  |  00079663           bnez a5,100 <jump_function2+0x24>
574ns  |  0x000000f8  |  02800793           li a5,40
575ns  |  0x000000fc  |  0080006f           j 104 <jump_function2+0x28>
576ns  |  0x00000104  |  00078513           mv a0,a5
577ns  |  0x00000108  |  01c12403           lw s0,28(sp)
578ns  |  0x0000010c  |  02010113           add sp,sp,32
579ns  |  0x00000110  |  00008067           ret
580ns  |  0x00000064  |  00050713           mv a4,a0
581ns  |  0x00000068  |  fec42783           lw a5,-20(s0)
