[9ns] [0x0] [0x00001137] | lui sp,0x1 | x2 = 4096 , 0x1000
[134ns] [0x13C] [0x407885B3] | sub a1,a7,t2 | x11 = 0 , 0x0

[135ns] [0x140] [0x41C58833] | sub a6,a1,t3 | x16 = 4294967295 , 0xffffffff

[136ns] [0x144] [0x00080593] | mv a1,a6 | x11 = 4294967295 , 0xffffffff

[137ns] [0x148] [0xFEA42423] | sw a0,-24(s0) | x0 = 0 , 0x0

[138ns] [0x14C] [0xFEB42623] | sw a1,-20(s0) | x0 = 0 , 0x0

[140ns] [0x150] [0xFE442583] | lw a1,-28(s0) | x11 = 0 , 0x0

[143ns] [0x154] [0x00158593] | add a1,a1,1 | x11 = 1 , 0x1

[144ns] [0x158] [0xFEB42223] | sw a1,-28(s0) | x0 = 0 , 0x0

[147ns] [0x15C] [0xFE442503] | lw a0,-28(s0) | x10 = 1 , 0x1

[148ns] [0x160] [0x00500593] | li a1,5 | x11 = 5 , 0x5

[149ns] [0x164] [0xF6A5D2E3] | bge a1,a0,c8 <function+0x28> | x0 = 1 , 0x1

[152ns] [0xC8] [0x40000513] | li a0,1024 | x10 = 1024 , 0x400

[156ns] [0xCC] [0xFE442583] | lw a1,-28(s0) | x11 = 1 , 0x1

[157ns] [0xD0] [0x00B505B3] | add a1,a0,a1 | x11 = 1025 , 0x401

[158ns] [0xD4] [0x0005C583] | lbu a1,0(a1) | x11 = 238 , 0xee

[162ns] [0xD8] [0x00058713] | mv a4,a1 | x14 = 238 , 0xee

[163ns] [0xDC] [0x00000793] | li a5,0 | x15 = 0 , 0x0

[165ns] [0xE0] [0xFEC42583] | lw a1,-20(s0) | x11 = 4294967295 , 0xffffffff

[170ns] [0xE4] [0x02E58533] | mul a0,a1,a4 | x10 = 4294967058 , 0xffffff12

[171ns] [0xE8] [0xFE842583] | lw a1,-24(s0) | x11 = 3437096959 , 0xccddefff

[172ns] [0xEC] [0x02F585B3] | mul a1,a1,a5 | x11 = 0 , 0x0

[173ns] [0xF0] [0x00B50533] | add a0,a0,a1 | x10 = 4294967058 , 0xffffff12

[176ns] [0xF4] [0xFE842583] | lw a1,-24(s0) | x11 = 3437096959 , 0xccddefff

[181ns] [0xF8] [0x02E58833] | mul a6,a1,a4 | x16 = 1985290002 , 0x76551f12

[182ns] [0xFC] [0x02E5B6B3] | mulhu a3,a1,a4 | x13 = 190 , 0xbe

[183ns] [0x100] [0x00080613] | mv a2,a6 | x12 = 1985290002 , 0x76551f12

[184ns] [0x104] [0x00D505B3] | add a1,a0,a3 | x11 = 4294967248 , 0xffffffd0

[185ns] [0x108] [0x00058693] | mv a3,a1 | x13 = 4294967248 , 0xffffffd0

[186ns] [0x10C] [0xFEC42423] | sw a2,-24(s0) | x0 = 0 , 0x0

[187ns] [0x110] [0xFED42623] | sw a3,-20(s0) | x0 = 0 , 0x0

[188ns] [0x114] [0xFEC42423] | sw a2,-24(s0) | x0 = 0 , 0x0

[190ns] [0x118] [0xFED42623] | sw a3,-20(s0) | x0 = 0 , 0x0

[193ns] [0x11C] [0xFDC42583] | lw a1,-36(s0) | x11 = 857870592 , 0x33221100

[196ns] [0x120] [0x00058313] | mv t1,a1 | x6 = 857870592 , 0x33221100

[197ns] [0x124] [0x00000393] | li t2,0 | x7 = 0 , 0x0

[199ns] [0x128] [0xFE842803] | lw a6,-24(s0) | x16 = 1985290002 , 0x76551f12

[200ns] [0x12C] [0xFEC42883] | lw a7,-20(s0) | x17 = 4294967248 , 0xffffffd0

[202ns] [0x130] [0x40680533] | sub a0,a6,t1 | x10 = 1127419410 , 0x43330e12

[203ns] [0x134] [0x00050E13] | mv t3,a0 | x28 = 1127419410 , 0x43330e12

[204ns] [0x138] [0x01C83E33] | sltu t3,a6,t3 | x28 = 0 , 0x0

[205ns] [0x13C] [0x407885B3] | sub a1,a7,t2 | x11 = 4294967248 , 0xffffffd0

[206ns] [0x140] [0x41C58833] | sub a6,a1,t3 | x16 = 4294967248 , 0xffffffd0

[207ns] [0x144] [0x00080593] | mv a1,a6 | x11 = 4294967248 , 0xffffffd0

[208ns] [0x148] [0xFEA42423] | sw a0,-24(s0) | x0 = 0 , 0x0

[209ns] [0x14C] [0xFEB42623] | sw a1,-20(s0) | x0 = 0 , 0x0

[211ns] [0x150] [0xFE442583] | lw a1,-28(s0) | x11 = 1 , 0x1

[214ns] [0x154] [0x00158593] | add a1,a1,1 | x11 = 2 , 0x2

[215ns] [0x158] [0xFEB42223] | sw a1,-28(s0) | x0 = 0 , 0x0

[218ns] [0x15C] [0xFE442503] | lw a0,-28(s0) | x10 = 2 , 0x2

[219ns] [0x160] [0x00500593] | li a1,5 | x11 = 5 , 0x5

[220ns] [0x164] [0xF6A5D2E3] | bge a1,a0,c8 <function+0x28> | x0 = 1 , 0x1

[223ns] [0xC8] [0x40000513] | li a0,1024 | x10 = 1024 , 0x400

[227ns] [0xCC] [0xFE442583] | lw a1,-28(s0) | x11 = 2 , 0x2

[228ns] [0xD0] [0x00B505B3] | add a1,a0,a1 | x11 = 1026 , 0x402

[229ns] [0xD4] [0x0005C583] | lbu a1,0(a1) | x11 = 221 , 0xdd

[233ns] [0xD8] [0x00058713] | mv a4,a1 | x14 = 221 , 0xdd

[234ns] [0xDC] [0x00000793] | li a5,0 | x15 = 0 , 0x0

[236ns] [0xE0] [0xFEC42583] | lw a1,-20(s0) | x11 = 4294967248 , 0xffffffd0

[241ns] [0xE4] [0x02E58533] | mul a0,a1,a4 | x10 = 4294956688 , 0xffffd690

[242ns] [0xE8] [0xFE842583] | lw a1,-24(s0) | x11 = 1127419410 , 0x43330e12

[243ns] [0xEC] [0x02F585B3] | mul a1,a1,a5 | x11 = 0 , 0x0

[244ns] [0xF0] [0x00B50533] | add a0,a0,a1 | x10 = 4294956688 , 0xffffd690

[247ns] [0xF4] [0xFE842583] | lw a1,-24(s0) | x11 = 1127419410 , 0x43330e12

[252ns] [0xF8] [0x02E58833] | mul a6,a1,a4 | x16 = 51586442 , 0x313258a

[253ns] [0xFC] [0x02E5B6B3] | mulhu a3,a1,a4 | x13 = 58 , 0x3a

[254ns] [0x100] [0x00080613] | mv a2,a6 | x12 = 51586442 , 0x313258a

[255ns] [0x104] [0x00D505B3] | add a1,a0,a3 | x11 = 4294956746 , 0xffffd6ca

[256ns] [0x108] [0x00058693] | mv a3,a1 | x13 = 4294956746 , 0xffffd6ca

[257ns] [0x10C] [0xFEC42423] | sw a2,-24(s0) | x0 = 0 , 0x0

[258ns] [0x110] [0xFED42623] | sw a3,-20(s0) | x0 = 0 , 0x0

[259ns] [0x114] [0xFEC42423] | sw a2,-24(s0) | x0 = 0 , 0x0

[261ns] [0x118] [0xFED42623] | sw a3,-20(s0) | x0 = 0 , 0x0

[264ns] [0x11C] [0xFDC42583] | lw a1,-36(s0) | x11 = 857870592 , 0x33221100

[267ns] [0x120] [0x00058313] | mv t1,a1 | x6 = 857870592 , 0x33221100

[268ns] [0x124] [0x00000393] | li t2,0 | x7 = 0 , 0x0

[270ns] [0x128] [0xFE842803] | lw a6,-24(s0) | x16 = 51586442 , 0x313258a

[271ns] [0x12C] [0xFEC42883] | lw a7,-20(s0) | x17 = 4294956746 , 0xffffd6ca

[273ns] [0x130] [0x40680533] | sub a0,a6,t1 | x10 = 3488683146 , 0xcff1148a

[274ns] [0x134] [0x00050E13] | mv t3,a0 | x28 = 3488683146 , 0xcff1148a

[275ns] [0x138] [0x01C83E33] | sltu t3,a6,t3 | x28 = 1 , 0x1

[276ns] [0x13C] [0x407885B3] | sub a1,a7,t2 | x11 = 4294956746 , 0xffffd6ca

[277ns] [0x140] [0x41C58833] | sub a6,a1,t3 | x16 = 4294956745 , 0xffffd6c9

[278ns] [0x144] [0x00080593] | mv a1,a6 | x11 = 4294956745 , 0xffffd6c9

[279ns] [0x148] [0xFEA42423] | sw a0,-24(s0) | x0 = 0 , 0x0

