[0x2C4] [0x00F71663] | bne a4,a5,2d0 <function+0x1a0> | x0 = 1 , 

[0x2D0] [0xFEC42703] | lw a4,-20(s0) | x14 = 0 , 

[0x2D4] [0x01500793] | li a5,21 | x15 = 21 , 

[0x2D8] [0x00F71663] | bne a4,a5,2e4 <function+0x1b4> | x0 = 1 , 

[0x2E4] [0xFEC42703] | lw a4,-20(s0) | x14 = 0 , 

[0x2E8] [0x01600793] | li a5,22 | x15 = 22 , 

[0x2EC] [0x00F71663] | bne a4,a5,2f8 <function+0x1c8> | x0 = 1 , 

[0x2F8] [0xFEC42703] | lw a4,-20(s0) | x14 = 0 , 

[0x2FC] [0x01700793] | li a5,23 | x15 = 23 , 

[0x300] [0x00F71663] | bne a4,a5,30c <function+0x1dc> | x0 = 1 , 

[0x30C] [0xFEC42703] | lw a4,-20(s0) | x14 = 0 , 

[0x310] [0x01800793] | li a5,24 | x15 = 24 , 

[0x314] [0x00F71663] | bne a4,a5,320 <function+0x1f0> | x0 = 1 , 

[0x320] [0xFEC42703] | lw a4,-20(s0) | x14 = 0 , 

[0x324] [0x01900793] | li a5,25 | x15 = 25 , 

[0x328] [0x00F71663] | bne a4,a5,334 <function+0x204> | x0 = 1 , 

[0x334] [0xFEC42703] | lw a4,-20(s0) | x14 = 0 , 

[0x338] [0x01A00793] | li a5,26 | x15 = 26 , 

[0x33C] [0x00F71663] | bne a4,a5,348 <function+0x218> | x0 = 1 , 

[0x348] [0x03000793] | li a5,48 | x15 = 48 , 

[0x34C] [0x00078513] | mv a0,a5 | x10 = 48 , 

[0x350] [0x01C12403] | lw s0,28(sp) | x8 = 2048 , 

[0x354] [0x02010113] | add sp,sp,32 | x2 = 1600 , 

[0x358] [0x00008067] | ret | x0 = 860 , 

[0x38] [0x00050793] | mv a5,a0 | x15 = 48 , 

[0x3C] [0x00078713] | mv a4,a5 | x14 = 48 , 

[0x40] [0xFEC42783] | lw a5,-20(s0) | x15 = 0 , 

[0x44] [0x00E787B3] | add a5,a5,a4 | x15 = 48 , 

[0x48] [0xFEF42623] | sw a5,-20(s0) | x0 = 0 , 

[0x4C] [0xFE442783] | lw a5,-28(s0) | x15 = 0 , 

[0x50] [0x00178793] | add a5,a5,1 | x15 = 1 , 

[0x54] [0xFEF42223] | sw a5,-28(s0) | x0 = 0 , 

[0x58] [0xFE442703] | lw a4,-28(s0) | x14 = 1 , 

[0x5C] [0x01A00793] | li a5,26 | x15 = 26 , 

[0x60] [0xFCE7F8E3] | bgeu a5,a4,30 <main+0x24> | x0 = 1 , 

[0x30] [0xFE442503] | lw a0,-28(s0) | x10 = 1 , 

[0x34] [0x0FC000EF] | jal 130 <function> | x1 = 56 , 

[0x130] [0xFE010113] | add sp,sp,-32 | x2 = 1568 , 

[0x134] [0x00812E23] | sw s0,28(sp) | x0 = 0 , 

[0x138] [0x02010413] | add s0,sp,32 | x8 = 1600 , 

[0x13C] [0xFEA42623] | sw a0,-20(s0) | x0 = 0 , 

[0x140] [0xFEC42703] | lw a4,-20(s0) | x14 = 1 , 

[0x144] [0x00100793] | li a5,1 | x15 = 1 , 

[0x148] [0x00F71663] | bne a4,a5,154 <function+0x24> | x0 = 0 , 

[0x14C] [0x04100793] | li a5,65 | x15 = 65 , 

[0x150] [0x1FC0006F] | j 34c <function+0x21c> | x0 = 340 , 

[0x34C] [0x00078513] | mv a0,a5 | x10 = 65 , 

[0x350] [0x01C12403] | lw s0,28(sp) | x8 = 2048 , 

[0x354] [0x02010113] | add sp,sp,32 | x2 = 1600 , 

[0x358] [0x00008067] | ret | x0 = 860 , 

[0x38] [0x00050793] | mv a5,a0 | x15 = 65 , 

[0x3C] [0x00078713] | mv a4,a5 | x14 = 65 , 

[0x40] [0xFEC42783] | lw a5,-20(s0) | x15 = 48 , 

[0x44] [0x00E787B3] | add a5,a5,a4 | x15 = 113 , 

[0x48] [0xFEF42623] | sw a5,-20(s0) | x0 = 0 , 

[0x4C] [0xFE442783] | lw a5,-28(s0) | x15 = 1 , 

[0x50] [0x00178793] | add a5,a5,1 | x15 = 2 , 

[0x54] [0xFEF42223] | sw a5,-28(s0) | x0 = 0 , 

[0x58] [0xFE442703] | lw a4,-28(s0) | x14 = 2 , 

[0x5C] [0x01A00793] | li a5,26 | x15 = 26 , 

[0x60] [0xFCE7F8E3] | bgeu a5,a4,30 <main+0x24> | x0 = 1 , 

[0x30] [0xFE442503] | lw a0,-28(s0) | x10 = 2 , 

[0x34] [0x0FC000EF] | jal 130 <function> | x1 = 56 , 

[0x130] [0xFE010113] | add sp,sp,-32 | x2 = 1568 , 

[0x134] [0x00812E23] | sw s0,28(sp) | x0 = 0 , 

[0x138] [0x02010413] | add s0,sp,32 | x8 = 1600 , 

[0x13C] [0xFEA42623] | sw a0,-20(s0) | x0 = 0 , 

[0x140] [0xFEC42703] | lw a4,-20(s0) | x14 = 2 , 

[0x144] [0x00100793] | li a5,1 | x15 = 1 , 

[0x148] [0x00F71663] | bne a4,a5,154 <function+0x24> | x0 = 1 , 

[0x154] [0xFEC42703] | lw a4,-20(s0) | x14 = 2 , 

[0x158] [0x00200793] | li a5,2 | x15 = 2 , 

[0x15C] [0x00F71663] | bne a4,a5,168 <function+0x38> | x0 = 0 , 

[0x160] [0x04200793] | li a5,66 | x15 = 66 , 

[0x164] [0x1E80006F] | j 34c <function+0x21c> | x0 = 360 , 

[0x34C] [0x00078513] | mv a0,a5 | x10 = 66 , 

[0x350] [0x01C12403] | lw s0,28(sp) | x8 = 2048 , 

[0x354] [0x02010113] | add sp,sp,32 | x2 = 1600 , 

[0x358] [0x00008067] | ret | x0 = 860 , 

[0x38] [0x00050793] | mv a5,a0 | x15 = 66 , 

[0x3C] [0x00078713] | mv a4,a5 | x14 = 66 , 

[0x40] [0xFEC42783] | lw a5,-20(s0) | x15 = 113 , 

[0x44] [0x00E787B3] | add a5,a5,a4 | x15 = 179 , 

[0x48] [0xFEF42623] | sw a5,-20(s0) | x0 = 0 , 

[0x4C] [0xFE442783] | lw a5,-28(s0) | x15 = 2 , 

[0x50] [0x00178793] | add a5,a5,1 | x15 = 3 , 

[0x54] [0xFEF42223] | sw a5,-28(s0) | x0 = 0 , 

[0x58] [0xFE442703] | lw a4,-28(s0) | x14 = 3 , 

[0x5C] [0x01A00793] | li a5,26 | x15 = 26 , 

[0x60] [0xFCE7F8E3] | bgeu a5,a4,30 <main+0x24> | x0 = 1 , 

[0x30] [0xFE442503] | lw a0,-28(s0) | x10 = 3 , 

[0x34] [0x0FC000EF] | jal 130 <function> | x1 = 56 , 

[0x130] [0xFE010113] | add sp,sp,-32 | x2 = 1568 , 

[0x134] [0x00812E23] | sw s0,28(sp) | x0 = 0 , 

[0x138] [0x02010413] | add s0,sp,32 | x8 = 1600 , 

[0x13C] [0xFEA42623] | sw a0,-20(s0) | x0 = 0 , 

[0x140] [0xFEC42703] | lw a4,-20(s0) | x14 = 3 , 

[0x144] [0x00100793] | li a5,1 | x15 = 1 , 

[0x148] [0x00F71663] | bne a4,a5,154 <function+0x24> | x0 = 1 , 

[0x154] [0xFEC42703] | lw a4,-20(s0) | x14 = 3 , 

[0x158] [0x00200793] | li a5,2 | x15 = 2 , 

[0x15C] [0x00F71663] | bne a4,a5,168 <function+0x38> | x0 = 1 , 

[0x168] [0xFEC42703] | lw a4,-20(s0) | x14 = 3 , 

[0x16C] [0x00300793] | li a5,3 | x15 = 3 , 

[0x170] [0x00F71663] | bne a4,a5,17c <function+0x4c> | x0 = 0 , 

[0x174] [0x04300793] | li a5,67 | x15 = 67 , 

[0x178] [0x1D40006F] | j 34c <function+0x21c> | x0 = 380 , 

[0x34C] [0x00078513] | mv a0,a5 | x10 = 67 , 

[0x350] [0x01C12403] | lw s0,28(sp) | x8 = 2048 , 

[0x354] [0x02010113] | add sp,sp,32 | x2 = 1600 , 

[0x358] [0x00008067] | ret | x0 = 860 , 

[0x38] [0x00050793] | mv a5,a0 | x15 = 67 , 

[0x3C] [0x00078713] | mv a4,a5 | x14 = 67 , 

[0x40] [0xFEC42783] | lw a5,-20(s0) | x15 = 179 , 

[0x44] [0x00E787B3] | add a5,a5,a4 | x15 = 246 , 

[0x48] [0xFEF42623] | sw a5,-20(s0) | x0 = 0 , 

[0x4C] [0xFE442783] | lw a5,-28(s0) | x15 = 3 , 

[0x50] [0x00178793] | add a5,a5,1 | x15 = 4 , 

[0x54] [0xFEF42223] | sw a5,-28(s0) | x0 = 0 , 

[0x58] [0xFE442703] | lw a4,-28(s0) | x14 = 4 , 

[0x5C] [0x01A00793] | li a5,26 | x15 = 26 , 

[0x60] [0xFCE7F8E3] | bgeu a5,a4,30 <main+0x24> | x0 = 1 , 

[0x30] [0xFE442503] | lw a0,-28(s0) | x10 = 4 , 

[0x34] [0x0FC000EF] | jal 130 <function> | x1 = 56 , 

[0x130] [0xFE010113] | add sp,sp,-32 | x2 = 1568 , 

[0x134] [0x00812E23] | sw s0,28(sp) | x0 = 0 , 

[0x138] [0x02010413] | add s0,sp,32 | x8 = 1600 , 

[0x13C] [0xFEA42623] | sw a0,-20(s0) | x0 = 0 , 

[0x140] [0xFEC42703] | lw a4,-20(s0) | x14 = 4 , 

[0x144] [0x00100793] | li a5,1 | x15 = 1 , 

[0x148] [0x00F71663] | bne a4,a5,154 <function+0x24> | x0 = 1 , 

[0x154] [0xFEC42703] | lw a4,-20(s0) | x14 = 4 , 

[0x158] [0x00200793] | li a5,2 | x15 = 2 , 

[0x15C] [0x00F71663] | bne a4,a5,168 <function+0x38> | x0 = 1 , 

[0x168] [0xFEC42703] | lw a4,-20(s0) | x14 = 4 , 

[0x16C] [0x00300793] | li a5,3 | x15 = 3 , 

[0x170] [0x00F71663] | bne a4,a5,17c <function+0x4c> | x0 = 1 , 

[0x17C] [0xFEC42703] | lw a4,-20(s0) | x14 = 4 , 

[0x180] [0x00400793] | li a5,4 | x15 = 4 , 

[0x184] [0x00F71663] | bne a4,a5,190 <function+0x60> | x0 = 0 , 

[0x188] [0x04400793] | li a5,68 | x15 = 68 , 

[0x18C] [0x1C00006F] | j 34c <function+0x21c> | x0 = 400 , 

[0x34C] [0x00078513] | mv a0,a5 | x10 = 68 , 

[0x350] [0x01C12403] | lw s0,28(sp) | x8 = 2048 , 

[0x354] [0x02010113] | add sp,sp,32 | x2 = 1600 , 

[0x358] [0x00008067] | ret | x0 = 860 , 

[0x38] [0x00050793] | mv a5,a0 | x15 = 68 , 

[0x3C] [0x00078713] | mv a4,a5 | x14 = 68 , 

[0x40] [0xFEC42783] | lw a5,-20(s0) | x15 = 246 , 

[0x44] [0x00E787B3] | add a5,a5,a4 | x15 = 314 , 

[0x48] [0xFEF42623] | sw a5,-20(s0) | x0 = 0 , 

[0x4C] [0xFE442783] | lw a5,-28(s0) | x15 = 4 , 

[0x50] [0x00178793] | add a5,a5,1 | x15 = 5 , 

[0x54] [0xFEF42223] | sw a5,-28(s0) | x0 = 0 , 

[0x58] [0xFE442703] | lw a4,-28(s0) | x14 = 5 , 

[0x5C] [0x01A00793] | li a5,26 | x15 = 26 , 

[0x60] [0xFCE7F8E3] | bgeu a5,a4,30 <main+0x24> | x0 = 1 , 

[0x30] [0xFE442503] | lw a0,-28(s0) | x10 = 5 , 

[0x34] [0x0FC000EF] | jal 130 <function> | x1 = 56 , 

[0x130] [0xFE010113] | add sp,sp,-32 | x2 = 1568 , 

[0x134] [0x00812E23] | sw s0,28(sp) | x0 = 0 , 

[0x138] [0x02010413] | add s0,sp,32 | x8 = 1600 , 

[0x13C] [0xFEA42623] | sw a0,-20(s0) | x0 = 0 , 

[0x140] [0xFEC42703] | lw a4,-20(s0) | x14 = 5 , 

[0x144] [0x00100793] | li a5,1 | x15 = 1 , 

[0x148] [0x00F71663] | bne a4,a5,154 <function+0x24> | x0 = 1 , 

[0x154] [0xFEC42703] | lw a4,-20(s0) | x14 = 5 , 

[0x158] [0x00200793] | li a5,2 | x15 = 2 , 

[0x15C] [0x00F71663] | bne a4,a5,168 <function+0x38> | x0 = 1 , 

[0x168] [0xFEC42703] | lw a4,-20(s0) | x14 = 5 , 

[0x16C] [0x00300793] | li a5,3 | x15 = 3 , 

[0x170] [0x00F71663] | bne a4,a5,17c <function+0x4c> | x0 = 1 , 

[0x17C] [0xFEC42703] | lw a4,-20(s0) | x14 = 5 , 

[0x180] [0x00400793] | li a5,4 | x15 = 4 , 

[0x184] [0x00F71663] | bne a4,a5,190 <function+0x60> | x0 = 1 , 

[0x190] [0xFEC42703] | lw a4,-20(s0) | x14 = 5 , 

[0x194] [0x00500793] | li a5,5 | x15 = 5 , 

[0x198] [0x00F71663] | bne a4,a5,1a4 <function+0x74> | x0 = 0 , 

[0x19C] [0x04500793] | li a5,69 | x15 = 69 , 

[0x1A0] [0x1AC0006F] | j 34c <function+0x21c> | x0 = 420 , 

[0x34C] [0x00078513] | mv a0,a5 | x10 = 69 , 

[0x350] [0x01C12403] | lw s0,28(sp) | x8 = 2048 , 

[0x354] [0x02010113] | add sp,sp,32 | x2 = 1600 , 

[0x358] [0x00008067] | ret | x0 = 860 , 

[0x38] [0x00050793] | mv a5,a0 | x15 = 69 , 

[0x3C] [0x00078713] | mv a4,a5 | x14 = 69 , 

[0x40] [0xFEC42783] | lw a5,-20(s0) | x15 = 314 , 

[0x44] [0x00E787B3] | add a5,a5,a4 | x15 = 383 , 

[0x48] [0xFEF42623] | sw a5,-20(s0) | x0 = 0 , 

[0x4C] [0xFE442783] | lw a5,-28(s0) | x15 = 5 , 

[0x50] [0x00178793] | add a5,a5,1 | x15 = 6 , 

[0x54] [0xFEF42223] | sw a5,-28(s0) | x0 = 0 , 

[0x58] [0xFE442703] | lw a4,-28(s0) | x14 = 6 , 

[0x5C] [0x01A00793] | li a5,26 | x15 = 26 , 

[0x60] [0xFCE7F8E3] | bgeu a5,a4,30 <main+0x24> | x0 = 1 , 

[0x30] [0xFE442503] | lw a0,-28(s0) | x10 = 6 , 

[0x34] [0x0FC000EF] | jal 130 <function> | x1 = 56 , 

[0x130] [0xFE010113] | add sp,sp,-32 | x2 = 1568 , 

[0x134] [0x00812E23] | sw s0,28(sp) | x0 = 0 , 

[0x138] [0x02010413] | add s0,sp,32 | x8 = 1600 , 

[0x13C] [0xFEA42623] | sw a0,-20(s0) | x0 = 0 , 

[0x140] [0xFEC42703] | lw a4,-20(s0) | x14 = 6 , 

[0x144] [0x00100793] | li a5,1 | x15 = 1 , 

[0x148] [0x00F71663] | bne a4,a5,154 <function+0x24> | x0 = 1 , 

[0x154] [0xFEC42703] | lw a4,-20(s0) | x14 = 6 , 

[0x158] [0x00200793] | li a5,2 | x15 = 2 , 

[0x15C] [0x00F71663] | bne a4,a5,168 <function+0x38> | x0 = 1 , 

[0x168] [0xFEC42703] | lw a4,-20(s0) | x14 = 6 , 

[0x16C] [0x00300793] | li a5,3 | x15 = 3 , 

[0x170] [0x00F71663] | bne a4,a5,17c <function+0x4c> | x0 = 1 , 

[0x17C] [0xFEC42703] | lw a4,-20(s0) | x14 = 6 , 

[0x180] [0x00400793] | li a5,4 | x15 = 4 , 

[0x184] [0x00F71663] | bne a4,a5,190 <function+0x60> | x0 = 1 , 

[0x190] [0xFEC42703] | lw a4,-20(s0) | x14 = 6 , 

[0x194] [0x00500793] | li a5,5 | x15 = 5 , 

[0x198] [0x00F71663] | bne a4,a5,1a4 <function+0x74> | x0 = 1 , 

[0x1A4] [0xFEC42703] | lw a4,-20(s0) | x14 = 6 , 

[0x1A8] [0x00600793] | li a5,6 | x15 = 6 , 

[0x1AC] [0x00F71663] | bne a4,a5,1b8 <function+0x88> | x0 = 0 , 

[0x1B0] [0x04600793] | li a5,70 | x15 = 70 , 

[0x1B4] [0x1980006F] | j 34c <function+0x21c> | x0 = 440 , 

[0x34C] [0x00078513] | mv a0,a5 | x10 = 70 , 

[0x350] [0x01C12403] | lw s0,28(sp) | x8 = 2048 , 

[0x354] [0x02010113] | add sp,sp,32 | x2 = 1600 , 

[0x358] [0x00008067] | ret | x0 = 860 , 

[0x38] [0x00050793] | mv a5,a0 | x15 = 70 , 

[0x3C] [0x00078713] | mv a4,a5 | x14 = 70 , 

