[1170ns] [0x17C] [0xFEC42703] | lw a4,-20(s0) | x14 = 0 , 0x0

[1180ns] [0x180] [0x00400793] | li a5,4 | x15 = 4 , 0x4

[1190ns] [0x184] [0x00F71663] | bne a4,a5,190 <function+0x60> | x0 = 1 , 0x1

[1280ns] [0x190] [0xFEC42703] | lw a4,-20(s0) | x14 = 0 , 0x0

[1290ns] [0x194] [0x00500793] | li a5,5 | x15 = 5 , 0x5

[1300ns] [0x198] [0x00F71663] | bne a4,a5,1a4 <function+0x74> | x0 = 1 , 0x1

[1390ns] [0x1A4] [0xFEC42703] | lw a4,-20(s0) | x14 = 0 , 0x0

[1400ns] [0x1A8] [0x00600793] | li a5,6 | x15 = 6 , 0x6

[1410ns] [0x1AC] [0x00F71663] | bne a4,a5,1b8 <function+0x88> | x0 = 1 , 0x1

[1500ns] [0x1B8] [0xFEC42703] | lw a4,-20(s0) | x14 = 0 , 0x0

[1510ns] [0x1BC] [0x00700793] | li a5,7 | x15 = 7 , 0x7

[1520ns] [0x1C0] [0x00F71663] | bne a4,a5,1cc <function+0x9c> | x0 = 1 , 0x1

[1610ns] [0x1CC] [0xFEC42703] | lw a4,-20(s0) | x14 = 0 , 0x0

[1620ns] [0x1D0] [0x00800793] | li a5,8 | x15 = 8 , 0x8

[1630ns] [0x1D4] [0x00F71663] | bne a4,a5,1e0 <function+0xb0> | x0 = 1 , 0x1

[1720ns] [0x1E0] [0xFEC42703] | lw a4,-20(s0) | x14 = 0 , 0x0

[1730ns] [0x1E4] [0x00900793] | li a5,9 | x15 = 9 , 0x9

[1740ns] [0x1E8] [0x00F71663] | bne a4,a5,1f4 <function+0xc4> | x0 = 1 , 0x1

[1830ns] [0x1F4] [0xFEC42703] | lw a4,-20(s0) | x14 = 0 , 0x0

[1840ns] [0x1F8] [0x00A00793] | li a5,10 | x15 = 10 , 0xa

[1850ns] [0x1FC] [0x00F71663] | bne a4,a5,208 <function+0xd8> | x0 = 1 , 0x1

[1940ns] [0x208] [0xFEC42703] | lw a4,-20(s0) | x14 = 0 , 0x0

[1950ns] [0x20C] [0x00B00793] | li a5,11 | x15 = 11 , 0xb

[1960ns] [0x210] [0x00F71663] | bne a4,a5,21c <function+0xec> | x0 = 1 , 0x1

[2050ns] [0x21C] [0xFEC42703] | lw a4,-20(s0) | x14 = 0 , 0x0

[2060ns] [0x220] [0x00C00793] | li a5,12 | x15 = 12 , 0xc

[2070ns] [0x224] [0x00F71663] | bne a4,a5,230 <function+0x100> | x0 = 1 , 0x1

[2160ns] [0x230] [0xFEC42703] | lw a4,-20(s0) | x14 = 0 , 0x0

[2170ns] [0x234] [0x00D00793] | li a5,13 | x15 = 13 , 0xd

[2180ns] [0x238] [0x00F71663] | bne a4,a5,244 <function+0x114> | x0 = 1 , 0x1

[2270ns] [0x244] [0xFEC42703] | lw a4,-20(s0) | x14 = 0 , 0x0

[2280ns] [0x248] [0x00E00793] | li a5,14 | x15 = 14 , 0xe

[2290ns] [0x24C] [0x00F71663] | bne a4,a5,258 <function+0x128> | x0 = 1 , 0x1

